"Run Fondo";"run_fondo_largo";"nombre_fondo";"nombre_fm_corto";"vigencia";"estado";"tipo_fondo";"rut_adm";"razon_social_adm";"fecha_deposito";"fecha_ult_modificacion";"fecha_inicio_operaciones";"n_resolucion";"fecha_cumplimiento";"fecha_termino";"numero_registro"
"8088";"8088-8";FONDO MUTUO BANCHILE GLOBAL ACCIONARIO;FM BCH GLOBAL ACC;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-13;1996-05-13;Res. 276 (13/05/1996);1996-05-13;;FM110212
"8090";"8090-K";FONDO MUTUO SANTANDER GO ACCIONES GLOBALES ESG;GO ACCIONES GLOBALES;Vigente;;"6-FM DE LIBRE INVERSION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2020-04-08;2023-02-17;1996-08-12;Res. 190 (12/08/1996);1996-08-12;;FM110378
"8294";"8294-5";FONDO MUTUO SECURITY GLOBAL;GLOBAL;Vigente;;"4-FM MIXTO";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-04-07;2021-06-29;2004-05-06;Res. 210 (06/05/2004);2004-05-06;;FM110360
"8301";"8301-1";FONDO MUTUO BANCHILE GLOBAL DOLLAR;GLOBAL DOLLAR;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-13;2004-05-18;Res. 238 (18/05/2004);2004-06-22;;FM110211
"8427";"8427-1";FONDO MUTUO CREDICORP CAPITAL GLOBALES I;GLOBALES I;Vigente;;"6-FM DE LIBRE INVERSION";"99549940-1";CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-04-01;2023-01-26;2006-06-01;Res. 161 (01/06/2006);2006-10-27;;FM110298
"8621";"8621-5";FONDO MUTUO ZURICH SELECT GLOBAL;SELECT GLOBAL;Vigente;;"6-FM DE LIBRE INVERSION";"77750920-9";ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-01-12;2023-03-13;2009-01-20;Res. 321 (20/01/2009);2009-01-20;;FM110330
"8707";"8707-6";FONDO MUTUO SURA SELECCION GLOBAL;SELECCION GLOBAL;Vigente;;"6-FM DE LIBRE INVERSION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2021-12-22;2023-10-17;2009-06-03;Res. 198 (03/06/2009);2009-07-03;;FM110516
"8710";"8710-6";FONDO MUTUO BCI GLOBAL TITAN;GLOBAL TITAN;Vigente;;"4-FM MIXTO";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2014-12-29;2015-07-30;2009-05-11;Res. 209 (11/05/2009);2009-05-14;;FM110444
"8744";"8744-0";FONDO MUTUO BANCOESTADO BNP PARIBAS ACCIONES DESARROLLADAS;BNP PARIBAS ACC. DES;Vigente;;"6-FM DE LIBRE INVERSION";"96836390-5";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-01-29;2021-04-22;2009-11-20;Res. 526 (20/11/2009);2010-01-05;;FM110312
"8885";"8885-4";FONDO MUTUO SCOTIA MERCADOS DESARROLLADOS;MERCADOS DESARROLLAD;No Vigente;;"6-FM DE LIBRE INVERSION";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2015-02-25;2017-06-16;2012-01-04;Res. 373 (04/01/2012);2012-01-26;2021-06-12;FM110082
"8924";"8924-9";FONDO MUTUO BICE ACCIONES MUNDO SUSTENTABLE;MUNDO SUSTENTABLE;Vigente;;"6-FM DE LIBRE INVERSION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-05-29;2012-04-03;-;2012-04-10;;FM120557
"8971";"8971-0";FONDO MUTUO ITAU GESTIONADO ACCIONES;G. ACCIONES;Vigente;;"6-FM DE LIBRE INVERSION";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-30;2023-04-18;2013-01-23;-;2013-01-23;;FM130604
"9005";"9005-0";FONDO MUTUO BTG PACTUAL GLOBAL DESARROLLADO;GLOBAL DESARROLLADO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96966250-7";BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2020-08-06;2021-09-13;2013-07-22;-;2013-07-22;;FM130638
